Año,Programa SDA,Código de proyecto,Proyecto,Dominio,Plan estratégico local,Country Priority,Tipología,Estado de Proyecto,Desarrollo de SW,Cumplio con entregables,Presupuesto (soles),Complejidad técnica inicial,Dependencias pendientes,Número de dependencias pendientes,Fecha de inicio de ejecución,Fecha fin de ejecución,Fecha pase a producción,Fecha En manos del cliente,Time to market (días),Excepción del cálculo
2025,Risk Processes Transformation,SDA-65412,Risk Data Transformación Perú,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,3771500,Alta,Sí,10,24/02/2023,20/08/2025,01/09/2025,12/09/2025,931,No
2025,NGA & Differential Analytics,SDA-10398,Modelo de Scoring para Pymes,ENG,Impulso Digital Perú 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1389500,Media,Sí,4,20/01/2025,,,,,
2024,Core Banking Modernization,SDA-44734,Renovación de Plataforma de Préstamos,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,7146000,Alta,Sí,9,07/03/2022,24/05/2024,03/06/2024,13/06/2024,828,No
2025,Digital Payments Evolution,SDA-70415,Pagos Transfronterizos para Pymes,CIB,Impulso Digital Perú 2025,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1508600,Media,Sí,6,10/03/2025,,,,,
2025,Client Solutions & Digital Channels,SDA-75809,Personalización de Ofertas en App,CCS,Foco en Captación 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1270400,Media,Sí,8,03/02/2025,,,,,
2025,Advanced Analytics & AI Models,SDA-71939,Detección de Anomalías en Transacciones,RIC,Impulso Digital Perú 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1667400,Alta,Sí,5,24/02/2025,,,,,
2025,Data Governance Initiative,SDA-74737,Maestro de Clientes Único,ENG,Eficiencia y Sostenibilidad,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,3374500,Alta,Sí,1,13/01/2025,,,,,
2025,Risk Processes Transformation,SDA-73647,Modelo de Riesgo Climático,RIC,Eficiencia y Sostenibilidad,No,Secuencial,Ongoing,Sí,Pendiente a entrega,1905600,Alta,Sí,4,17/02/2025,,,,,
2025,Client Solutions & Digital Channels,SDA-78757,Onboarding para Empresas 100% Digital,CIB,Foco en Captación 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,2183500,Media,Sí,4,06/01/2025,,,,,
2025,Sustaninability TBBs,SDA-77667,Calculadora de Huella de Carbono para Clientes,CCS,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,873400,Baja,Sí,2,27/01/2025,,,,,
2025,Global Markets Platform,SDA-76577,Análisis de Riesgo de Crédito en Tiempo Real,RIC,Impulso Digital Perú 2025,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,3771500,Alta,Sí,3,20/01/2025,,,,,
2025,NFR Management Infraestructure,SDA-72487,Actualización de Firewall Perimetral,GRM,Renovación Tecnológica,Sí,Secuencial,Ongoing,No,Pendiente a entrega,2382000,Media,Sí,2,03/03/2025,,,,,
2025,Core Banking Modernization,SDA-71397,API Gateway para Conexión con Fintechs,ENG,Impulso Digital Perú 2025,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,2977500,Alta,Sí,8,10/02/2025,,,,,
2025,Digital Payments Evolution,SDA-70216,Pagos sin Contacto (Contactless) en Transporte,CCS,Foco en Captación 2025,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1588000,Media,Sí,2,06/01/2025,,,,,
2025,Client Solutions & Digital Channels,SDA-79327,Plataforma de Educación Financiera,T&C,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Ongoing,No,Pendiente a entrega,714600,Baja,Sí,1,03/02/2025,,,,,
2025,Core Banking Modernization,SDA-78127,Sistema de Conciliación Bancaria Automática,FIN,Eficiencia y Sostenibilidad,No,Secuencial,Ongoing,Sí,Pendiente a entrega,1905600,Media,Sí,5,24/03/2025,,,,,
2025,NGA & Differential Analytics,SDA-77237,Motor de Personalización Web,ENG,Impulso Digital Perú 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1667400,Media,Sí,8,03/02/2025,,,,,
2025,Data Governance Initiative,SDA-74946,Cuadro de Mando de Calidad de Datos,ENG,Eficiencia y Sostenibilidad,No,Secuencial,Ongoing,Sí,Pendiente a entrega,1032200,Media,Sí,6,27/01/2025,,,,,
2025,Advanced Analytics & AI Models,SDA-73156,Procesamiento de Lenguaje Natural para Correos,T&C,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1310100,Media,Sí,5,24/02/2025,,,,,
2025,Cybersecurity Framework,SDA-72065,Programa de Gestión de Vulnerabilidades,GRM,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,1786500,Media,Sí,5,03/03/2025,,,,,
2025,Sustaninability TBBs,SDA-70974,Préstamos para Eficiencia Energética en Pymes,CIB,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Ongoing,No,Pendiente a entrega,1111600,Baja,Sí,7,13/01/2025,,,,,
2025,Digital Payments Evolution,SDA-79883,Plataforma de Cobros Recurrentes,CIB,Crecimiento en Banca Empresas,No,Secuencial,Ongoing,Sí,Pendiente a entrega,1667400,Media,Sí,1,20/01/2025,,,,,
2025,Global Markets Platform,SDA-75792,Asesor de Inversiones Robótico (Robo-Advisor),CIB,Impulso Digital Perú 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,3573000,Alta,Sí,8,10/02/2025,,,,,
2023,Risk Processes Transformation,SDA-37233,Modelo de Provisión IFRS 9,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,5955000,Alta,Sí,7,01/03/2021,14/04/2023,21/04/2023,02/05/2023,792,No
2025,Wealth Management Digitalization,SDA-81011,Portal de Inversiones para Clientes Premium,CIB,Crecimiento en Banca Empresas,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,3096600,Alta,Sí,4,17/02/2025,,,,,
2023,Open Banking Initiative,SDA-35528,Portal para Desarrolladores (Developer Portal),ENG,Impulso Digital Perú 2021,Sí,Secuencial,Finalizado,Sí,Entrega completa,3771500,Alta,Sí,8,02/08/2021,03/02/2023,10/02/2023,20/02/2023,567,No
2025,Regulatory & Compliance Tech,SDA-83013,Dashboard de Cumplimiento Basilea III,GRM,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,2461400,Media,Sí,2,20/01/2025,,,,,
2020,Data Governance Initiative,SDA-10482,Creación del Data Lake Corporativo,ENG,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,5955000,Alta,Sí,5,06/05/2019,18/09/2020,28/09/2020,09/10/2020,522,No
2025,Corporate Investment Tools,SDA-85015,Plataforma de Bonos Corporativos,CIB,Crecimiento en Banca Empresas,No,Secuencial,Ongoing,Sí,Pendiente a entrega,3771500,Alta,Sí,8,03/03/2025,,,,,
2025,Advanced Analytics & AI Models,SDA-86016,Modelo de Detección de Blanqueo de Capitales,RIC,Renovación Tecnológica,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,5955000,Alta,Sí,7,06/01/2025,,,,,
2024,Global Markets Platform,SDA-51937,Acceso a Mercados Internacionales para Retail,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2382000,Alta,Sí,6,13/02/2023,07/06/2024,14/06/2024,25/06/2024,498,No
2025,Cloud Adoption & DevOps,SDA-88018,Orquestador de Despliegues Multi-Cloud,ENG,Renovación Tecnológica,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1905600,Media,Sí,6,10/02/2025,,,,,
2025,Open Banking Initiative,SDA-89019,Marketplace de APIs para Terceros,ENG,Impulso Digital Perú 2025,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,3493600,Alta,Sí,8,24/02/2025,,,,,
2022,Risk Processes Transformation,SDA-35813,Sistema de Alertas de Fraude Transaccional,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,3493600,Alta,Sí,1,12/04/2021,22/07/2022,29/07/2022,09/08/2022,484,No
2024,Risk Processes Transformation,SDA-65412,Risk Data Transformación Perú,RIC,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,3771500,Alta,Sí,3,24/02/2023,,,,,
2022,Core Banking Modernization,SDA-32483,Microservicios para Cuentas de Ahorro,ENG,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,4367000,Alta,Sí,4,15/02/2021,29/04/2022,06/05/2022,17/05/2022,456,No
2022,Core Banking Modernization,SDA-39323,Gestión de Tarjetas en Tiempo Real,CCS,Impulso Digital Perú 2021,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2977500,Media,Sí,9,05/04/2021,17/06/2022,24/06/2022,05/07/2022,456,No
2022,Client Solutions & Digital Channels,SDA-82345,Rediseño de la Banca Móvil,CCS,Impulso Digital Perú 2021,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,4764000,Alta,Sí,8,01/03/2021,26/04/2022,05/05/2022,16/05/2022,441,No
2024,Client Solutions & Digital Channels,SDA-99823,Asistente Virtual para App (Chatbot),CCS,Foco en Captación 2024,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1786500,Media,Sí,6,15/07/2024,,,,,
2023,Advanced Analytics & AI Models,SDA-47664,Prevención de Lavado de Dinero (AML) con IA,GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,5161000,Alta,Sí,5,02/05/2022,23/06/2023,30/06/2023,11/07/2023,435,No
2020,Core Banking Modernization,SDA-18751,Digitalización de Legajos de Clientes,T&C,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,2580500,Media,Sí,4,13/05/2019,26/06/2020,03/07/2020,14/07/2020,428,No
2025,Digital Workspace,SDA-87017,Migración a Microsoft 365,T&C,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,No,Entrega completa,9925000,Media,Sí,7,01/04/2024,31/03/2025,10/04/2025,21/04/2025,385,No
2021,Regulatory & Compliance Tech,SDA-52234,Sistema de Prevención de Fraude Interno,GRM,Renovación Tecnológica,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2858400,Media,Sí,6,06/04/2020,19/02/2021,26/02/2021,08/03/2021,336,No
2024,Digital Workspace,SDA-40556,Plataforma de Colaboración Unificada,T&C,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,No,Entrega completa,3771500,Media,Sí,2,19/06/2023,26/04/2024,06/05/2024,16/05/2024,332,No
2023,Regulatory & Compliance Tech,SDA-21114,Software de Monitoreo de Sanciones,GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,2699600,Alta,Sí,2,11/04/2022,10/02/2023,17/02/2023,27/02/2023,322,No
2020,Regulatory & Compliance Tech,SDA-74444,Módulo de Auditoría Continua,GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,2183500,Media,Sí,2,15/04/2019,14/02/2020,21/02/2020,02/03/2020,322,No
2022,Wealth Management Digitalization,SDA-35525,Onboarding Digital para Clientes de Banca Privada,CIB,Foco en Captación 2021,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2779000,Media,Sí,2,03/05/2021,25/02/2022,04/03/2022,14/03/2022,315,No
2024,Retail Banking Evolution,SDA-64111,Rediseño del Proceso de Crédito Hipotecario,CCS,Foco en Captación 2024,Sí,Secuencial,Finalizado,Sí,Entrega completa,2977500,Alta,Sí,7,12/02/2024,29/11/2024,06/12/2024,16/12/2024,308,No
2022,Sustaninability TBBs,SDA-73109,Factoring: Nuevo diseño de aplicativo,CIB,Eficiencia y Sostenibilidad,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,833700,Alta,Sí,3,08/03/2022,19/12/2022,28/12/2022,10/01/2023,308,No
2024,Cloud Adoption & DevOps,SDA-52063,Contenedorización de Aplicaciones Legacy,ENG,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,2382000,Alta,Sí,7,15/05/2023,26/01/2024,02/02/2024,13/02/2024,274,No
