Año,Programa SDA,Código de proyecto,Proyecto,Dominio,Plan estratégico local,Country Priority,Tipología,Estado de Proyecto,Desarrollo de SW,Cumplio con entregables,Presupuesto (€),Complejidad técnica inicial,Dependencias pendientes,Número de dependencias pendientes,Fecha de inicio de ejecución,Fecha fin de ejecución,Fecha pase a producción,Fecha En manos del cliente,Time to market (días),Excepción del cálculo
2025,Risk Processes Transformation,SDA-65412,Risk Data Transformación Perú,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,950000,Alta,No,0,24/02/2023,20/08/2025,01/09/2025,12/09/2025,931,No
2025,NGA & Differential Analytics,SDA-10398,Modelo de Scoring para Pymes,ENG,Impulso Digital Perú 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,350000,Media,Sí,1,20/01/2025,,,,No,
2025,Client Solutions & Digital Channels,SDA-99823,Asistente Virtual para App (Chatbot),CCS,Foco en Captación 2024,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,450000,Media,No,0,15/07/2024,10/02/2025,17/02/2025,26/02/2025,226,No
2025,Digital Payments Evolution,SDA-70415,Pagos Transfronterizos para Pymes,CIB,Impulso Digital Perú 2025,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,380000,Media,Sí,2,10/03/2025,,,,No,
2025,Client Solutions & Digital Channels,SDA-75809,Personalización de Ofertas en App,CCS,Foco en Captación 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,320000,Media,Sí,1,03/02/2025,,,,No,
2025,Advanced Analytics & AI Models,SDA-71939,Detección de Anomalías en Transacciones,RIC,Impulso Digital Perú 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,420000,Alta,Sí,1,24/02/2025,,,,No,
2025,Data Governance Initiative,SDA-74737,Maestro de Clientes Único,ENG,Eficiencia y Sostenibilidad,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,850000,Alta,Sí,3,13/01/2025,,,,No,
2025,Risk Processes Transformation,SDA-73647,Modelo de Riesgo Climático,RIC,Eficiencia y Sostenibilidad,No,Secuencial,Ongoing,Sí,Pendiente a entrega,480000,Alta,Sí,2,17/02/2025,,,,No,
2025,Client Solutions & Digital Channels,SDA-78757,Onboarding para Empresas 100% Digital,CIB,Foco en Captación 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,550000,Media,Sí,2,06/01/2025,,,,No,
2025,Sustaninability TBBs,SDA-77667,Calculadora de Huella de Carbono para Clientes,CCS,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,220000,Baja,Sí,1,27/01/2025,,,,No,
